"id","firstName","lastName","club","districtNum","birthDate","fullName","age","totalVotings","totalVoted","totalMissed","totalExcused","salary_bonus_factor","attendance_rate","monthly_salary","total_earnings_est","cost_per_vote"
40,"Lidia","Burzyńska","PiS",28,"1964-08-27","Lidia Burzyńska",61,3217,3172,45,4,0,0.98725520671433,17676.65,458756.685282523,144.626949962964
41,"Marek","Chmielewski","KO",2,"1962-05-06","Marek Chmielewski",63,3217,3213,4,0,0.15,0.998756605533105,20328.1475,527570.188074901,164.198626851821
42,"Zbigniew","Chmielowiec","PiS",23,"1954-09-22","Zbigniew Chmielowiec",71,3217,3062,155,8,0,0.954305253341623,17676.65,458756.685282523,149.822562143215
43,"Artur","Chojecki","PiS",35,"1974-04-19","Artur Chojecki",51,3217,3126,91,1,0,0.972023624494871,17676.65,458756.685282523,146.755177633565
44,"Kazimierz","Choma","PiS",6,"1957-12-16","Kazimierz Choma",67,3217,3167,50,1,0,0.984768417780541,17676.65,458756.685282523,144.855284269821
45,"Dominika","Chorosińska","PiS",20,"1978-12-29","Dominika Chorosińska",46,3217,2898,319,12,0,0.904569474665838,17676.65,458756.685282523,158.301133637862
46,"Tadeusz","Chrzan","PiS",22,"1963-09-14","Tadeusz Chrzan",62,3217,2963,254,8,0,0.923531240285981,17676.65,458756.685282523,154.828445927277
47,"Alicja","Chybicka","KO",3,"1951-05-10","Alicja Chybicka",74,3217,3210,7,2,0.15,0.998445756916382,20328.1475,527570.188074901,164.35208351243
48,"Anna","Cicholska","PiS",16,"1962-02-07","Anna Cicholska",63,3217,2624,593,21,0,0.822194591234069,17676.65,458756.685282523,174.831053842425
49,"Janusz","Cichoń","KO",35,"1957-01-07","Janusz Cichoń",68,3217,3161,56,5,0.2,0.984146720547094,21211.98,550508.022339027,174.156286725412
50,"Krzysztof","Ciecióra","PiS",10,"1989-06-27","Krzysztof Ciecióra",36,3217,3151,66,2,0.15,0.980105688529686,20328.1475,527570.188074901,167.429447183403
51,"Janusz","Cieszyński","PiS",35,"1988-05-06","Janusz Cieszyński",37,3217,2703,514,9,0,0.843021448554554,17676.65,458756.685282523,169.72130421107
52,"Michał","Cieślak","PiS",33,"1974-12-09","Michał Cieślak",51,3217,2835,382,17,0,0.886540254895866,17676.65,458756.685282523,161.818936607592
53,"Żaneta","Cwalina-Śliwowska","Polska2050",18,"1978-12-10","Żaneta Cwalina-Śliwowska",47,3217,3071,146,3,0,0.955548647808517,17676.65,458756.685282523,149.38348592723
54,"Krzysztof","Czarnecki","PiS",38,"1957-10-25","Krzysztof Czarnecki",68,3217,3158,59,3,0,0.982592477463475,17676.65,458756.685282523,145.268108069197
55,"Witold","Czarnecki","PiS",37,"1953-04-12","Witold Czarnecki",72,3217,2920,297,21,0,0.914205781784271,17676.65,458756.685282523,157.108453863878
56,"Przemysław","Czarnek","PiS",6,"1977-06-11","Przemysław Czarnek",48,3217,2778,439,4,0,0.86478085172521,17676.65,458756.685282523,165.139195566063
57,"Arkadiusz","Czartoryski","PiS",18,"1966-04-14","Arkadiusz Czartoryski",59,3217,3149,68,2,0,0.979483991296239,17676.65,458756.685282523,145.683291610836
58,"Włodzimierz","Czarzasty","Lewica",32,"1960-05-03","Włodzimierz Czarzasty",65,3217,2721,496,119,0,0.882810071495182,17676.65,458756.685282523,168.598561294569
59,"Jacek","Czerniak","Lewica",6,"1964-08-30","Jacek Czerniak",61,3217,3099,118,8,0,0.965806652160398,17676.65,458756.685282523,148.03378034286
60,"Zofia","Czernow","KO",1,"1950-09-30","Zofia Czernow",75,3217,3215,2,1,0.15,0.999689151383276,20328.1475,527570.188074901,164.096481516299
61,"Anita","Czerwińska","PiS",20,"1970-01-13","Anita Czerwińska",55,3217,2913,304,7,0,0.907677960833074,17676.65,458756.685282523,157.48598876846
62,"Katarzyna","Czochara","PiS",21,"1969-11-03","Katarzyna Czochara",56,3217,2066,1151,53,0,0.658688218837426,17676.65,458756.685282523,222.05067051429
63,"Sławomir","Ćwik","Polska2050",7,"1972-01-21","Sławomir Ćwik",53,3217,3196,21,0,0.15,0.993472179048803,20328.1475,527570.188074901,165.072023803161
64,"Władysław","Dajczak","PiS",8,"1959-07-10","Władysław Dajczak",66,3217,2900,317,13,0,0.905502020516009,17676.65,458756.685282523,158.191960442249
65,"Anna","Dąbrowska-Banaszek","PiS",7,"1961-04-14","Anna Dąbrowska-Banaszek",64,3217,3202,15,0,0,0.995337270749145,17676.65,458756.685282523,143.271919201288
66,"Zbigniew","Dolata","PiS",37,"1965-12-01","Zbigniew Dolata",60,3217,3133,84,2,0,0.97451041342866,17676.65,458756.685282523,146.427285439682
67,"Barbara","Dolniak","KO",32,"1960-09-12","Barbara Dolniak",65,3217,3206,11,1,0.2,0.996891513832763,21211.98,550508.022339027,171.711797360894
68,"Andrzej","Domański","KO",19,"1981-08-27","Andrzej Domański",44,3217,2986,231,18,0,0.933789244637861,17676.65,458756.685282523,153.635862452285
69,"Bartłomiej","Dorywalski","PiS",33,"1979-08-16","Bartłomiej Dorywalski",46,3217,3197,20,0,0,0.993783027665527,17676.65,458756.685282523,143.495991642954
70,"Robert","Dowhan","KO",8,"1967-07-14","Robert Dowhan",58,3217,2623,594,25,0,0.82312713708424,17676.65,458756.685282523,174.897706931957
71,"Przemysław","Drabek","PiS",27,"1979-10-02","Przemysław Drabek",46,3217,3103,114,2,0,0.96518495492695,17676.65,458756.685282523,147.842953684345
72,"Elżbieta","Duda","PiS",13,"1962-11-20","Elżbieta Duda",63,3217,3042,175,7,0,0.947777432390426,17676.65,458756.685282523,150.807588850271
74,"Adam","Dziedzic","PSL-TD",23,"1969-09-26","Adam Dziedzic",56,3217,3100,117,8,0.15,0.966117500777122,20328.1475,527570.188074901,170.183931637065
75,"Jan","Dziedziczak","PiS",36,"1981-08-03","Jan Dziedziczak",44,3217,2607,610,13,0.15,0.814423375815978,20328.1475,527570.188074901,202.366777167204
76,"Agnieszka","Dziemianowicz-Bąk","Lewica",26,"1984-01-20","Agnieszka Dziemianowicz-Bąk",41,3217,3125,92,2,0,0.972023624494871,17676.65,458756.685282523,146.802139290407
77,"Magdalena","Filiks","KO",41,"1978-12-08","Magdalena Filiks",47,3217,2343,874,18,0.2,0.733913584084551,21211.98,550508.022339027,234.95860961973
78,"Magdalena","Filipek-Sobczak","PiS",6,"1983-09-07","Magdalena Filipek-Sobczak",42,3217,3177,40,2,0,0.988187752564501,17676.65,458756.685282523,144.399334366548
79,"Radosław","Fogiel","PiS",17,"1982-02-16","Radosław Fogiel",43,3217,2725,492,15,0.15,0.851725209822816,20328.1475,527570.188074901,193.603738743083
80,"Bronisław","Foltyn","Konfederacja",27,"1974-08-12","Bronisław Foltyn",51,3217,3038,179,3,0,0.945290643456637,17676.65,458756.685282523,151.006150520909
81,"Roman","Fritz","Konfederacja_KP",30,"1966-01-03","Roman Fritz",59,3217,3015,202,1,0,0.937519428038545,17676.65,458756.685282523,152.158104571318
82,"Joanna","Frydrych","KO",22,"1978-01-13","Joanna Frydrych",47,3217,3213,4,0,0.15,0.998756605533105,20328.1475,527570.188074901,164.198626851821
83,"Konrad","Frysztak","KO",17,"1986-02-15","Konrad Frysztak",39,3217,3116,101,5,0.15,0.970158532794529,20328.1475,527570.188074901,169.310073194769
84,"Patryk","Gabriel","KO",25,"1977-03-29","Patryk Gabriel",48,3217,3201,16,2,0.15,0.995648119365869,20328.1475,527570.188074901,164.814179342362
85,"Krzysztof","Gadowski","KO",30,"1962-08-14","Krzysztof Gadowski",63,3217,3137,80,2,0.15,0.975753807895555,20328.1475,527570.188074901,168.176661802646
86,"Aleksandra","Gajewska","KO",19,"1989-08-22","Aleksandra Gajewska",36,3217,3134,83,13,0,0.978240596829344,17676.65,458756.685282523,146.380563268195
87,"Kinga","Gajewska","KO",20,"1990-07-22","Kinga Gajewska",35,3217,3164,53,8,0.15,0.986011812247436,20328.1475,527570.188074901,166.741525940234
88,"Elżbieta","Gapińska","KO",16,"1960-10-03","Elżbieta Gapińska",65,3217,3214,3,0,0.15,0.999067454149829,20328.1475,527570.188074901,164.147538293373
90,"Krzysztof","Gawkowski","Lewica",4,"1980-04-11","Krzysztof Gawkowski",45,3217,3059,158,6,0,0.952751010258004,17676.65,458756.685282523,149.969495025343
91,"Zdzisław","Gawlik","KO",23,"1960-09-12","Zdzisław Gawlik",65,3217,3180,37,4,0.2,0.989741995648119,21211.98,550508.022339027,173.115730295292
92,"Andrzej","Gawron","PiS",28,"1965-01-06","Andrzej Gawron",60,3217,2986,231,7,0,0.930369909853901,17676.65,458756.685282523,153.635862452285
93,"Grzegorz","Gaża","PiS",27,"1972-03-23","Grzegorz Gaża",53,3217,2772,445,16,0,0.866645943425552,17676.65,458756.685282523,165.49663971231
94,"Elżbieta","Gelert","KO",34,"1955-04-22","Elżbieta Gelert",70,3217,3154,63,3,0.15,0.981349082996581,20328.1475,527570.188074901,167.270192794832
95,"Anna","Gembicka","PiS",5,"1991-11-07","Anna Gembicka",34,3217,2959,258,13,0.15,0.923842088902704,20328.1475,527570.188074901,178.293405905678
96,"Artur","Gierada","KO",33,"1979-04-21","Artur Gierada",46,3217,3158,59,9,0.15,0.984457569163817,20328.1475,527570.188074901,167.058324279576
97,"Roman","Giertych","KO",33,"1971-02-27","Roman Giertych",54,3217,2880,337,7,0,0.897419956481194,17676.65,458756.685282523,159.290515723098
98,"Włodzisław","Giziński","KO",4,"1952-10-19","Włodzisław Giziński",73,3217,3121,96,4,0,0.971401927261424,17676.65,458756.685282523,146.990286857585
99,"Szymon","Giżyński","PiS",28,"1956-03-08","Szymon Giżyński",69,3217,2966,251,13,0,0.92601802921977,17676.65,458756.685282523,154.671842644141
100,"Piotr","Gliński","PiS",19,"1954-04-20","Piotr Gliński",71,3217,3096,121,4,0.15,0.963630711843332,20328.1475,527570.188074901,170.403807517733
101,"Tomasz","Głogowski","KO",29,"1974-12-30","Tomasz Głogowski",50,3217,3147,70,3,0.15,0.979173142679515,20328.1475,527570.188074901,167.642258682841
102,"Piotr","Głowski","KO",38,"1967-07-22","Piotr Głowski",58,3217,3149,68,4,0.15,0.980105688529686,20328.1475,527570.188074901,167.535785352462
103,"Marta","Golbik","KO",29,"1985-04-14","Marta Golbik",40,3217,3198,19,0,0.2,0.99409387628225,21211.98,550508.022339027,172.141345321772
104,"Małgorzata","Golińska","PiS",40,"1980-10-30","Małgorzata Golińska",45,3217,3071,146,2,0,0.955237799191794,17676.65,458756.685282523,149.38348592723
105,"Kazimierz","Gołojuch","PiS",23,"1964-02-05","Kazimierz Gołojuch",61,3217,3049,168,4,0,0.94902082685732,17676.65,458756.685282523,150.46135955478
106,"Adam","Gomoła","Polska2050",21,"1999-01-20","Adam Gomoła",26,3217,2999,218,5,0.15,0.933789244637861,20328.1475,527570.188074901,175.915367814239
107,"Robert","Gontarz","PiS",34,"1993-07-02","Robert Gontarz",32,3217,3125,92,1,0,0.971712775878147,17676.65,458756.685282523,146.802139290407
108,"Stanisław","Gorczyca","KO",34,"1958-07-27","Stanisław Gorczyca",67,3217,3179,38,0,0.15,0.988187752564501,20328.1475,527570.188074901,165.954761898365
109,"Mariusz","Gosek","PiS",33,"1982-08-20","Mariusz Gosek",43,3217,3108,109,0,0.15,0.966117500777122,20328.1475,527570.188074901,169.745877758977
110,"Daria","Gosek-Popiołek","Lewica",13,"1985-04-16","Daria Gosek-Popiołek",40,3217,2946,271,17,0.15,0.921044451352191,20328.1475,527570.188074901,179.080172462628
112,"Piotr","Górnikiewicz","Polska2050",15,"1972-07-09","Piotr Górnikiewicz",53,3217,3142,75,2,0,0.977308050979173,17676.65,458756.685282523,146.007856550771
113,"Agnieszka","Górska","PiS",17,"1976-01-01","Agnieszka Górska",49,3217,2866,351,17,0,0.896176562014299,17676.65,458756.685282523,160.068627104858
114,"Krzysztof","Grabczuk","KO",7,"1962-04-22","Krzysztof Grabczuk",63,3217,3104,113,4,0.15,0.966117500777122,20328.1475,527570.188074901,169.964622446811
115,"Jan","Grabiec","KO",20,"1972-11-02","Jan Grabiec",53,3217,2652,565,40,0,0.836804476220081,17676.65,458756.685282523,172.985175445899
116,"Marcin","Grabowski","PiS",18,"1981-04-06","Marcin Grabowski",44,3217,3183,34,0,0,0.989431147031396,17676.65,458756.685282523,144.127139579806
117,"Michał","Gramatyka","Polska2050",31,"1971-10-08","Michał Gramatyka",54,3217,3121,96,0,0,0.970158532794529,17676.65,458756.685282523,146.990286857585
118,"Małgorzata","Gromadzka","KO",7,"1985-03-24","Małgorzata Gromadzka",40,3217,3169,48,3,0,0.986011812247436,17676.65,458756.685282523,144.763864084103
119,"Marek","Gróbarczyk","PiS",41,"1968-03-13","Marek Gróbarczyk",57,3217,3169,48,4,0,0.986322660864159,17676.65,458756.685282523,144.763864084103
120,"Andrzej","Grzyb","PSL-TD",36,"1956-08-23","Andrzej Grzyb",69,3217,2820,397,5,0.2,0.878147342244327,21211.98,550508.022339027,195.21561075852
121,"Andrzej","Gut-Mostowy","PiS",14,"1960-10-30","Andrzej Gut-Mostowy",65,3217,2663,554,13,0,0.831830898352502,17676.65,458756.685282523,172.270629095953
122,"Kazimierz","Gwiazdowski","PiS",24,"1962-06-10","Kazimierz Gwiazdowski",63,3217,3041,176,5,0.15,0.946844886540255,20328.1475,527570.188074901,173.485757341303
123,"Marcin","Gwóźdź","PiS",2,"1977-12-14","Marcin Gwóźdź",48,3217,3179,38,0,0,0.988187752564501,17676.65,458756.685282523,144.308488607274
124,"Marek","Gzik","KO",29,"1971-09-03","Marek Gzik",54,3217,3165,52,0,0,0.98383587193037,17676.65,458756.685282523,144.946819994478
125,"Krzysztof","Habura","KO",11,"1956-06-02","Krzysztof Habura",69,3217,3019,198,7,0,0.940627914205782,17676.65,458756.685282523,151.95650390279
126,"Agnieszka","Hanajczyk","KO",11,"1963-01-12","Agnieszka Hanajczyk",62,3217,3143,74,4,0.15,0.978240596829344,20328.1475,527570.188074901,167.855611859657
127,"Iwona","Hartwich","KO",5,"1970-09-06","Iwona Hartwich",55,3217,3212,5,0,0,0.998445756916382,17676.65,458756.685282523,142.82586714898
128,"Paulina","Hennig-Kloska","Polska2050",37,"1977-10-05","Paulina Hennig-Kloska",48,3217,3169,48,5,0,0.986633509480883,17676.65,458756.685282523,144.763864084103
130,"Czesław","Hoc","PiS",40,"1954-02-22","Czesław Hoc",71,3217,3162,55,4,0,0.984146720547094,17676.65,458756.685282523,145.08434069656
131,"Zbigniew","Hoffmann","PiS",37,"1963-07-05","Zbigniew Hoffmann",62,3217,3136,81,1,0,0.975132110662108,17676.65,458756.685282523,146.287208317131
132,"Marek","Hok","KO",40,"1953-06-15","Marek Hok",72,3217,3125,92,2,0.15,0.972023624494871,20328.1475,527570.188074901,168.822460183968
133,"Szymon","Hołownia","Polska2050",24,"1976-09-03","Szymon Hołownia",49,3217,3008,209,119,0,0.972023624494871,17676.65,458756.685282523,152.512195905094
134,"Marcin","Horała","PiS",26,"1981-10-02","Marcin Horała",44,3217,2950,267,0,0,0.917003419334784,17676.65,458756.685282523,155.510740773737
135,"Łukasz","Horbatowski","KO",1,"1980-05-14","Łukasz Horbatowski",45,3217,3169,48,0,0.15,0.985079266397265,20328.1475,527570.188074901,166.478443696719
136,"Paweł","Hreniak","PiS",3,"1979-09-09","Paweł Hreniak",46,3217,3162,55,2,0.15,0.983525023313646,20328.1475,527570.188074901,166.846991801044
137,"Paweł","Jabłoński","PiS",30,"1986-01-25","Paweł Jabłoński",39,3217,2915,302,10,0,0.909232203916693,17676.65,458756.685282523,157.377936632083
138,"Klaudia","Jachira","KO",19,"1988-05-31","Klaudia Jachira",37,3217,3112,105,1,0,0.96767174386074,17676.65,458756.685282523,147.415387301582
139,"Marek","Jakubiak","Republikanie",19,"1959-04-30","Marek Jakubiak",66,3217,2867,350,9,0,0.894000621697233,17676.65,458756.685282523,160.012795703705
140,"Maria","Janyska","KO",38,"1962-01-16","Maria Janyska",63,3217,3145,72,2,0.2,0.978240596829344,21211.98,550508.022339027,175.042296451201
141,"Michał","Jaros","KO",3,"1981-01-26","Michał Jaros",44,3217,3122,95,4,0,0.971712775878147,17676.65,458756.685282523,146.943204766984
142,"Patryk","Jaskulski","KO",41,"1990-08-18","Patryk Jaskulski",35,3217,3098,119,3,0.15,0.963941560460056,20328.1475,527570.188074901,170.293798603906
143,"Danuta","Jazłowiecka","KO",21,"1957-05-19","Danuta Jazłowiecka",68,3217,984,2233,70,0,0.327634442026733,17676.65,458756.685282523,466.2161435798
145,"Marcin","Józefaciuk","niez.",9,"1982-10-17","Marcin Józefaciuk",43,3217,3207,10,1,0,0.997202362449487,17676.65,458756.685282523,143.0485454576
146,"Norbert","Kaczmarczyk","PiS",15,"1989-11-16","Norbert Kaczmarczyk",36,3217,3187,30,2,0.15,0.991296238731738,20328.1475,527570.188074901,165.538182640383
147,"Filip","Kaczyński","PiS",12,"1987-11-19","Filip Kaczyński",38,3217,3153,64,4,0,0.981349082996581,17676.65,458756.685282523,145.498472972573
148,"Jarosław","Kaczyński","PiS",33,"1949-06-18","Jarosław Kaczyński",76,3217,2647,570,23,0,0.82996580665216,17676.65,458756.685282523,173.311932483008
149,"Piotr","Kaleta","PiS",36,"1968-06-25","Piotr Kaleta",57,3217,3201,16,1,0,0.995337270749145,17676.65,458756.685282523,143.316677689011
150,"Sebastian","Kaleta","PiS",19,"1989-07-29","Sebastian Kaleta",36,3217,2996,221,5,0,0.93285669878769,17676.65,458756.685282523,153.123059173072
151,"Mariusz","Kałużny","PiS",5,"1986-08-10","Mariusz Kałużny",39,3217,2714,503,24,0,0.851103512589369,17676.65,458756.685282523,169.033413884496
153,"Piotr","Kandyba","KO",20,"1969-10-13","Piotr Kandyba",56,3217,3205,12,1,0,0.99658066521604,17676.65,458756.685282523,143.1378113206
154,"Jan","Kanthak","PiS",6,"1991-09-20","Jan Kanthak",34,3217,3026,191,3,0,0.941560460055953,17676.65,458756.685282523,151.604985222248
155,"Fryderyk","Kapinos","PiS",23,"1961-12-31","Fryderyk Kapinos",63,3217,2974,243,7,0,0.926639726453217,17676.65,458756.685282523,154.25577850791
156,"Jacek","Karnowski","KO",25,"1963-08-16","Jacek Karnowski",62,3217,3126,91,3,0,0.972645321728318,17676.65,458756.685282523,146.755177633565
157,"Iwona","Karolewska","KO",4,"1974-03-11","Iwona Karolewska",51,3217,2996,221,5,0,0.93285669878769,17676.65,458756.685282523,153.123059173072
158,"Rafał","Kasprzyk","Polska2050",33,"1971-08-27","Rafał Kasprzyk",54,3217,3134,83,5,0.15,0.975753807895555,20328.1475,527570.188074901,168.337647758424
159,"Henryk","Kiepura","PSL-TD",28,"1969-11-10","Henryk Kiepura",56,3217,2981,236,8,0,0.929126515387007,17676.65,458756.685282523,153.893554271225
161,"Katarzyna","Kierzek-Koperska","KO",39,"1974-06-09","Katarzyna Kierzek-Koperska",51,3217,3039,178,8,0,0.947155735156979,17676.65,458756.685282523,150.956461099876
162,"Dariusz","Klimczak","PSL-TD",10,"1980-06-17","Dariusz Klimczak",45,3217,3143,74,9,0,0.979794839912962,17676.65,458756.685282523,145.961401617093
163,"Joanna","Kluzik-Rostkowska","KO",17,"1963-12-14","Joanna Kluzik-Rostkowska",61,3217,3205,12,1,0.15,0.99658066521604,20328.1475,527570.188074901,164.60848301869
164,"Agnieszka","Kłopotek","PSL-TD",4,"1969-07-09","Agnieszka Kłopotek",56,3217,3063,154,9,0.15,0.95492695057507,20328.1475,527570.188074901,172.239695747601
165,"Łukasz","Kmita","PiS",12,"1985-11-07","Łukasz Kmita",40,3217,2911,306,8,0,0.907367112216351,17676.65,458756.685282523,157.594189379087
167,"Maria","Koc","PiS",18,"1964-08-22","Maria Koc",61,3217,2804,413,12,0,0.875349704693814,17676.65,458756.685282523,163.60794767565
168,"Ewa","Kołodziej","KO",31,"1978-09-02","Ewa Kołodziej",47,3217,3211,6,0,0,0.998134908299658,17676.65,458756.685282523,142.870347331835
169,"Magdalena","Kołodziejczak","KO",25,"1958-06-19","Magdalena Kołodziejczak",67,3217,3202,15,4,0,0.99658066521604,17676.65,458756.685282523,143.271919201288
170,"Michał","Kołodziejczak","KO",37,"1988-09-14","Michał Kołodziejczak",37,3217,3026,191,14,0,0.944979794839913,17676.65,458756.685282523,151.604985222248
171,"Rafał","Komarewicz","Polska2050",13,"1971-06-10","Rafał Komarewicz",54,3217,3097,120,2,0.2,0.963319863226609,21211.98,550508.022339027,177.755254226357
172,"Maciej","Konieczny","Razem",31,"1980-10-14","Maciej Konieczny",45,3217,3034,183,3,0,0.944047248989742,17676.65,458756.685282523,151.205235755611
173,"Zbigniew","Konwiński","KO",26,"1974-03-24","Zbigniew Konwiński",51,3217,3216,1,0,0.2,0.999689151383276,21211.98,550508.022339027,171.177867642732
174,"Władysław","Kosiniak-Kamysz","PSL-TD",15,"1981-08-10","Władysław Kosiniak-Kamysz",44,3217,2589,628,18,0,0.81038234379857,17676.65,458756.685282523,177.194548197189
175,"Tomasz","Kostuś","KO",21,"1974-03-07","Tomasz Kostuś",51,3217,3213,4,1,0.15,0.999067454149829,20328.1475,527570.188074901,164.198626851821
176,"Andrzej","Kosztowniak","PiS",17,"1976-03-31","Andrzej Kosztowniak",49,3217,3026,191,6,0,0.942493005906124,17676.65,458756.685282523,151.604985222248
177,"Katarzyna","Kotula","Lewica",25,"1977-02-01","Katarzyna Kotula",48,3217,3114,103,3,0,0.968915138327634,17676.65,458756.685282523,147.320708183212
178,"Paweł","Kowal","KO",23,"1975-07-22","Paweł Kowal",50,3217,3153,64,4,0.2,0.981349082996581,21211.98,550508.022339027,174.598167567088
179,"Henryk","Kowalczyk","PiS",18,"1956-07-15","Henryk Kowalczyk",69,3217,3171,46,0,0.15,0.985700963630712,20328.1475,527570.188074901,166.373443101514
180,"Janusz","Kowalski","PiS",21,"1978-04-11","Janusz Kowalski",47,3217,2936,281,13,0.15,0.91669257071806,20328.1475,527570.188074901,179.690118554122
181,"Bartosz","Kownacki","PiS",4,"1979-08-11","Bartosz Kownacki",46,3217,2773,444,17,0.15,0.867267640658999,20328.1475,527570.188074901,190.252502010422
182,"Iwona","Kozłowska","KO",4,"1963-08-11","Iwona Kozłowska",62,3217,3170,47,4,0.15,0.986633509480883,20328.1475,527570.188074901,166.425926837508
